learning_rate,batch_size,epochs,hidden_size1,hidden_size2,optimizer,activation,random_seed,val_loss,val_accuracy,val_precision,val_recall,timestamp
0.0005,64,5,256,512,sgd,tanh,0,0.72158355,0.6208,0.608641975308642,0.6101485148514851,20250220_135153
0.0005,64,5,256,512,sgd,tanh,1,0.73462194,0.6032,0.5872323552735924,0.610973597359736,20250220_135407
0.0005,64,5,256,512,sgd,tanh,2,0.74651,0.6016,0.5872374798061389,0.5998349834983498,20250220_135622
0.001,32,5,256,128,rmsprop,leaky_relu,0,0.84257597,0.8734,0.860652436568667,0.8816006600660066,20250220_135814
0.001,32,5,256,128,rmsprop,leaky_relu,1,0.8423874,0.875,0.8531605810757754,0.8964521452145214,20250220_140001
0.001,32,5,256,128,rmsprop,leaky_relu,2,0.88709426,0.8712,0.8503937007874016,0.8910891089108911,20250220_140149
0.001,32,5,256,128,rmsprop,leaky_relu,0,0.84257597,0.8734,0.860652436568667,0.8816006600660066,20250220_140336
0.001,32,5,256,128,rmsprop,leaky_relu,1,0.8423874,0.875,0.8531605810757754,0.8964521452145214,20250220_140523
0.001,32,5,256,128,rmsprop,leaky_relu,2,0.88709426,0.8712,0.8503937007874016,0.8910891089108911,20250220_140715
0.001,32,5,256,128,rmsprop,leaky_relu,0,0.84257597,0.8734,0.860652436568667,0.8816006600660066,20250220_140902
0.001,32,5,256,128,rmsprop,leaky_relu,1,0.8423874,0.875,0.8531605810757754,0.8964521452145214,20250220_141049
0.001,32,5,256,128,rmsprop,leaky_relu,2,0.88709426,0.8712,0.8503937007874016,0.8910891089108911,20250220_141237
0.001,32,5,256,128,rmsprop,leaky_relu,0,0.84257597,0.8734,0.860652436568667,0.8816006600660066,20250220_141425
0.001,32,5,256,128,rmsprop,leaky_relu,1,0.8423874,0.875,0.8531605810757754,0.8964521452145214,20250220_141618
0.001,32,5,256,128,rmsprop,leaky_relu,2,0.88709426,0.8712,0.8503937007874016,0.8910891089108911,20250220_141812
0.001,32,5,256,128,rmsprop,leaky_relu,0,0.84257597,0.8734,0.860652436568667,0.8816006600660066,20250220_142004
0.001,32,5,256,128,rmsprop,leaky_relu,1,0.8423874,0.875,0.8531605810757754,0.8964521452145214,20250220_142152
0.001,32,5,256,128,rmsprop,leaky_relu,2,0.88709426,0.8712,0.8503937007874016,0.8910891089108911,20250220_142340
0.001,32,5,256,128,rmsprop,leaky_relu,0,0.84257597,0.8734,0.860652436568667,0.8816006600660066,20250220_142527
0.001,32,5,256,128,rmsprop,leaky_relu,1,0.8423874,0.875,0.8531605810757754,0.8964521452145214,20250220_142715
0.001,32,5,256,128,rmsprop,leaky_relu,2,0.88709426,0.8712,0.8503937007874016,0.8910891089108911,20250220_142902
0.001,32,5,256,128,rmsprop,leaky_relu,0,0.84257597,0.8734,0.860652436568667,0.8816006600660066,20250220_143049
0.001,32,5,256,128,rmsprop,leaky_relu,1,0.8423874,0.875,0.8531605810757754,0.8964521452145214,20250220_143237
0.001,32,5,256,128,rmsprop,leaky_relu,2,0.88709426,0.8712,0.8503937007874016,0.8910891089108911,20250220_143424
0.001,32,5,256,128,rmsprop,leaky_relu,0,0.84257597,0.8734,0.860652436568667,0.8816006600660066,20250220_143611
0.001,32,5,256,128,rmsprop,leaky_relu,1,0.8423874,0.875,0.8531605810757754,0.8964521452145214,20250220_143805
0.001,32,5,256,128,rmsprop,leaky_relu,2,0.88709426,0.8712,0.8503937007874016,0.8910891089108911,20250220_143952
0.001,32,5,256,128,rmsprop,leaky_relu,0,0.84257597,0.8734,0.860652436568667,0.8816006600660066,20250220_144138
0.001,32,5,256,128,rmsprop,leaky_relu,1,0.8423874,0.875,0.8531605810757754,0.8964521452145214,20250220_144332
0.001,32,5,256,128,rmsprop,leaky_relu,2,0.88709426,0.8712,0.8503937007874016,0.8910891089108911,20250220_144520
